solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
chuffed, 003, -047, NA, NA, 0, 0, 0.353, 0, NA, 0, 0, 0, 0.006, 0.359
kissat, 003, -047, 133, 0, 0, 0, 0.206, NA, 0, 0, 0, 0, 0.00, 0.206
or-tools, 003, -047, NA, NA, 0, 0, 0.097, 0, NA, NA, 0, 0, 0.014, 0.111
chuffed, 003, -048, NA, NA, 0, 0, 0.289, 0, NA, 0, 0, 0, 0.006, 0.295
kissat, 003, -048, 133, 0, 0, 0, 0.18, NA, 0, 0, 0, 0, 0.00, 0.18
or-tools, 003, -048, NA, NA, 0, 0, 0.073, 0, NA, NA, 0, 0, 0.013, 0.086
chuffed, 003, -049, NA, NA, 0, 0, 0.225, 0, NA, 0, 0, 0, 0.053, 0.278
kissat, 003, -049, 133, 0, 0, 0, 0.226, NA, 0, 0, 0, 0, 0.00, 0.226
or-tools, 003, -049, NA, NA, 0, 0, 0.097, 0, NA, NA, 0, 0, 0.014, 0.111
chuffed, 003, -050, NA, NA, 0, 0, 0.245, 0, NA, 0, 0, 0, 0.058, 0.303
kissat, 003, -050, 133, 0, 0, 0, 0.237, NA, 0, 0, 0, 0, 0.00, 0.237
or-tools, 003, -050, NA, NA, 0, 0, 0.104, 0, NA, NA, 0, 0, 0.013, 0.11699999999999999
chuffed, 003, -051, NA, NA, 0, 0, 0.24, 0, NA, 0, 0, 0, 0.014, 0.254
kissat, 003, -051, 133, 0, 0, 0, 0.264, NA, 0, 0, 0, 0, 0.00, 0.264
or-tools, 003, -051, NA, NA, 0, 0, 0.102, 0, NA, NA, 0, 0, 0.013, 0.11499999999999999
chuffed, 003, -052, NA, NA, 0, 0, 0.273, 0, NA, 0, 0, 0, 0.024, 0.29700000000000004
kissat, 003, -052, 133, 0, 0, 0, 0.25, NA, 0, 0, 0, 0, 0.00, 0.25
or-tools, 003, -052, NA, NA, 0, 0, 0.113, 0, NA, NA, 0, 0, 0.015, 0.128
chuffed, 003, -053, NA, NA, 0, 0, 0.414, 0, NA, 0, 0, 0, 0.01, 0.424
kissat, 003, -053, 133, 0, 0, 0, 0.223, NA, 0, 0, 0, 0, 0.00, 0.223
or-tools, 003, -053, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.018, 0.11800000000000001
chuffed, 003, -054, NA, NA, 0, 0, 0.222, 0, NA, 0, 0, 0, 0.045, 0.267
kissat, 003, -054, 133, 0, 0, 0, 0.238, NA, 0, 0, 0, 0, 0.00, 0.238
or-tools, 003, -054, NA, NA, 0, 0, 0.094, 0, NA, NA, 0, 0, 0.016, 0.11
chuffed, 003, -055, NA, NA, 0, 0, 0.319, 0, NA, 0, 0, 0, 0.01, 0.329
kissat, 003, -055, 133, 0, 0, 0, 0.267, NA, 0, 0, 0, 0, 0.00, 0.267
or-tools, 003, -055, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.013, 0.109
chuffed, 003, -056, NA, NA, 0, 0, 0.445, 0, NA, 0, 0, 0, 0.009, 0.454
kissat, 003, -056, 133, 0, 0, 0, 0.316, NA, 0, 0, 0, 0, 0.00, 0.316
or-tools, 003, -056, NA, NA, 0, 0, 0.105, 0, NA, NA, 0, 0, 0.015, 0.12
chuffed, 003, -057, NA, NA, 0, 0, 0.311, 0, NA, 0, 0, 0, 0.007, 0.318
kissat, 003, -057, 133, 0, 0, 0, 0.265, NA, 0, 0, 0, 0, 0.00, 0.265
or-tools, 003, -057, NA, NA, 0, 0, 0.106, 0, NA, NA, 0, 0, 0.017, 0.123
chuffed, 003, -058, NA, NA, 0, 0, 0.296, 0, NA, 0, 0, 0, 0.011, 0.307
kissat, 003, -058, 133, 0, 0, 0, 0.273, NA, 0, 0, 0, 0, 0.00, 0.273
or-tools, 003, -058, NA, NA, 0, 0, 0.101, 0, NA, NA, 0, 0, 0.013, 0.114
chuffed, 003, -059, NA, NA, 0, 0, 0.319, 0, NA, 0, 0, 0, 0.006, 0.325
kissat, 003, -059, 133, 0, 0, 0, 0.275, NA, 0, 0, 0, 0, 0.00, 0.275
or-tools, 003, -059, NA, NA, 0, 0, 0.101, 0, NA, NA, 0, 0, 0.017, 0.11800000000000001
chuffed, 003, -060, NA, NA, 0, 0, 0.31, 0, NA, 0, 0, 0, 0.022, 0.332
kissat, 003, -060, 133, 0, 0, 0, 0.185, NA, 0, 0, 0, 0, 0.00, 0.185
or-tools, 003, -060, NA, NA, 0, 0, 0.116, 0, NA, NA, 0, 0, 0.016, 0.132
chuffed, 003, -061, NA, NA, 0, 0, 0.346, 0, NA, 0, 0, 0, 0.007, 0.353
kissat, 003, -061, 133, 0, 0, 0, 0.33, NA, 0, 0, 0, 0, 0.00, 0.33
or-tools, 003, -061, NA, NA, 0, 0, 0.104, 0, NA, NA, 0, 0, 0.021, 0.125
chuffed, 003, -062, NA, NA, 0, 0, 0.228, 0, NA, 0, 0, 0, 0.041, 0.269
kissat, 003, -062, 133, 0, 0, 0, 0.308, NA, 0, 0, 0, 0, 0.00, 0.308
or-tools, 003, -062, NA, NA, 0, 0, 0.106, 0, NA, NA, 0, 0, 0.016, 0.122
chuffed, 003, -063, NA, NA, 0, 0, 0.387, 0, NA, 0, 0, 0, 0.008, 0.395
kissat, 003, -063, 133, 0, 0, 0, 0.375, NA, 0, 0, 0, 0, 0.00, 0.375
or-tools, 003, -063, NA, NA, 0, 0, 0.104, 0, NA, NA, 0, 0, 0.018, 0.122
chuffed, 003, -064, NA, NA, 0, 0, 0.267, 0, NA, 0, 0, 0, 0.03, 0.29700000000000004
kissat, 003, -064, 133, 0, 0, 0, 0.52, NA, 0, 0, 0, 0, 0.00, 0.52
or-tools, 003, -064, NA, NA, 0, 0, 0.11, 0, NA, NA, 0, 0, 0.015, 0.125
chuffed, 003, -065, NA, NA, 0, 0, 0.364, 0, NA, 0, 0, 0, 0.03, 0.394
kissat, 003, -065, 133, 0, 0, 0, 0.387, NA, 0, 0, 0, 0, 0.00, 0.387
or-tools, 003, -065, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.013, 0.109
chuffed, 003, -066, NA, NA, 0, 0, 0.361, 0, NA, 0, 0, 0, 0.007, 0.368
kissat, 003, -066, 133, 0, 0, 0, 0.356, NA, 0, 0, 0, 0, 0.00, 0.356
or-tools, 003, -066, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.019, 0.117
chuffed, 003, -067, NA, NA, 0, 0, 0.249, 0, NA, 0, 0, 0, 0.034, 0.28300000000000003
kissat, 003, -067, 133, 0, 0, 0, 0.415, NA, 0, 0, 0, 0, 0.00, 0.415
or-tools, 003, -067, NA, NA, 0, 0, 0.106, 0, NA, NA, 0, 0, 0.015, 0.121
chuffed, 003, -068, NA, NA, 0, 0, 0.301, 0, NA, 0, 0, 0, 0.017, 0.318
kissat, 003, -068, 133, 0, 0, 0, 0.558, NA, 0, 0, 0, 0, 0.00, 0.558
or-tools, 003, -068, NA, NA, 0, 0, 0.101, 0, NA, NA, 0, 0, 0.016, 0.117
chuffed, 003, -069, NA, NA, 0, 0, 0.285, 0, NA, 0, 0, 0, 0.041, 0.32599999999999996
kissat, 003, -069, 133, 0, 0, 0, 0.479, NA, 0, 0, 0, 0, 0.00, 0.479
or-tools, 003, -069, NA, NA, 0, 0, 0.097, 0, NA, NA, 0, 0, 0.014, 0.111
chuffed, 003, -070, NA, NA, 0, 0, 0.254, 0, NA, 0, 0, 0, 0.037, 0.291
kissat, 003, -070, 133, 0, 0, 0, 0.469, NA, 0, 0, 0, 0, 0.00, 0.469
or-tools, 003, -070, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.012, 0.11
chuffed, 003, -071, NA, NA, 0, 0, 0.386, 0, NA, 0, 0, 0, 0.005, 0.391
kissat, 003, -071, 133, 0, 0, 0, 0.372, NA, 0, 0, 0, 0, 0.00, 0.372
or-tools, 003, -071, NA, NA, 0, 0, 0.099, 0, NA, NA, 0, 0, 0.011, 0.11
chuffed, 003, -072, NA, NA, 0, 0, 0.264, 0, NA, 0, 0, 0, 0.088, 0.352
kissat, 003, -072, 133, 0, 0, 0, 0.418, NA, 0, 0, 0, 0, 0.00, 0.418
or-tools, 003, -072, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.013, 0.109
chuffed, 003, -073, NA, NA, 0, 0, 0.33, 0, NA, 0, 0, 0, 0.026, 0.35600000000000004
kissat, 003, -073, 133, 0, 0, 0, 0.436, NA, 0, 0, 0, 0, 0.00, 0.436
or-tools, 003, -073, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.017, 0.117
chuffed, 003, -074, NA, NA, 0, 0, 0.264, 0, NA, 0, 0, 0, 0.05, 0.314
kissat, 003, -074, 133, 0, 0, 0, 0.556, NA, 0, 0, 0, 0, 0.00, 0.556
or-tools, 003, -074, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.013, 0.108
chuffed, 003, -075, NA, NA, 0, 0, 0.329, 0, NA, 0, 0, 0, 0.042, 0.371
kissat, 003, -075, 133, 0, 0, 0, 0.302, NA, 0, 0, 0, 0, 0.00, 0.302
or-tools, 003, -075, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.014, 0.114
chuffed, 003, -076, NA, NA, 0, 0, 0.419, 0, NA, 0, 0, 0, 0.008, 0.427
kissat, 003, -076, 133, 0, 0, 0, 0.384, NA, 0, 0, 0, 0, 0.00, 0.384
