solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
or-tools, 004, 0046, NA, NA, 0, 0, 0.169, 0, NA, NA, 0, 0, 0.012, 0.18100000000000002
chuffed, 004, 0047, NA, NA, 0, 0, 0.697, 0, NA, 0, 0, 0, 0.005, 0.702
kissat, 004, 0047, 40, 3, 0, 0, 0.755, NA, 0, 0, 0, 0, 0.00, 0.755
or-tools, 004, 0047, NA, NA, 0, 0, 0.14, 0, NA, NA, 0, 0, 0.012, 0.15200000000000002
chuffed, 004, 0048, NA, NA, 0, 0, 0.564, 0, NA, 0, 0, 0, 0.011, 0.575
kissat, 004, 0048, 38, 0, 0, 0, 0.794, NA, 0, 0, 0, 0, 0.00, 0.794
or-tools, 004, 0048, NA, NA, 0, 0, 0.166, 0, NA, NA, 0, 0, 0.014, 0.18000000000000002
chuffed, 004, 0049, NA, NA, 0, 0, 0.663, 0, NA, 0, 0, 0, 0.006, 0.669
kissat, 004, 0049, 39, 0, 0, 0, 0.726, NA, 0, 0, 0, 0, 0.00, 0.726
or-tools, 004, 0049, NA, NA, 0, 0, 0.18, 0, NA, NA, 0, 0, 0.016, 0.196
chuffed, 004, 0050, NA, NA, 0, 0, 0.596, 0, NA, 0, 0, 0, 0.006, 0.602
kissat, 004, 0050, 39, 0, 0, 0, 0.561, NA, 0, 0, 0, 0, 0.00, 0.561
or-tools, 004, 0050, NA, NA, 0, 0, 0.17, 0, NA, NA, 0, 0, 0.015, 0.185
chuffed, 004, 0051, NA, NA, 0, 0, 0.548, 0, NA, 0, 0, 0, 0.006, 0.554
kissat, 004, 0051, 39, 0, 0, 0, 0.596, NA, 0, 0, 0, 0, 0.00, 0.596
or-tools, 004, 0051, NA, NA, 0, 0, 0.151, 0, NA, NA, 0, 0, 0.015, 0.16599999999999998
chuffed, 004, 0052, NA, NA, 0, 0, 0.516, 0, NA, 0, 0, 0, 0.012, 0.528
kissat, 004, 0052, 39, 0, 0, 0, 0.551, NA, 0, 0, 0, 0, 0.00, 0.551
or-tools, 004, 0052, NA, NA, 0, 0, 0.16, 0, NA, NA, 0, 0, 0.017, 0.177
chuffed, 004, 0053, NA, NA, 0, 0, 0.527, 0, NA, 0, 0, 0, 0.009, 0.536
kissat, 004, 0053, 39, 0, 0, 0, 0.253, NA, 0, 0, 0, 0, 0.00, 0.253
or-tools, 004, 0053, NA, NA, 0, 0, 0.161, 0, NA, NA, 0, 0, 0.019, 0.18
chuffed, 004, 0054, NA, NA, 0, 0, 0.73, 0, NA, 0, 0, 0, 0.005, 0.735
kissat, 004, 0054, 39, 0, 0, 0, 0.2, NA, 0, 0, 0, 0, 0.00, 0.2
or-tools, 004, 0054, NA, NA, 0, 0, 0.185, 0, NA, NA, 0, 0, 0.017, 0.202
chuffed, 004, 0055, NA, NA, 0, 0, 0.645, 0, NA, 0, 0, 0, 0.008, 0.653
kissat, 004, 0055, 39, 0, 0, 0, 0.284, NA, 0, 0, 0, 0, 0.00, 0.284
or-tools, 004, 0055, NA, NA, 0, 0, 0.17, 0, NA, NA, 0, 0, 0.014, 0.18400000000000002
chuffed, 004, 0056, NA, NA, 0, 0, 0.427, 0, NA, 0, 0, 0, 0.005, 0.432
kissat, 004, 0056, 39, 0, 0, 0, 0.215, NA, 0, 0, 0, 0, 0.00, 0.215
or-tools, 004, 0056, NA, NA, 0, 0, 0.171, 0, NA, NA, 0, 0, 0.014, 0.18500000000000003
chuffed, 004, 0057, NA, NA, 0, 0, 0.449, 0, NA, 0, 0, 0, 0.006, 0.455
kissat, 004, 0057, 39, 0, 0, 0, 0.243, NA, 0, 0, 0, 0, 0.00, 0.243
or-tools, 004, 0057, NA, NA, 0, 0, 0.178, 0, NA, NA, 0, 0, 0.013, 0.191
chuffed, 004, 0058, NA, NA, 0, 0, 0.37, 0, NA, 0, 0, 0, 0.004, 0.374
kissat, 004, 0058, 39, 0, 0, 0, 0.282, NA, 0, 0, 0, 0, 0.00, 0.282
