solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
kissat, 003, -047, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -047, NA, NA, 0, 0, 0.076, 0, NA, NA, 0, 0, 0.015, 0.091
chuffed, 003, -048, NA, NA, 0, 0, 0.203, 0, NA, 0, 0, 0, 0.009, 0.21200000000000002
kissat, 003, -048, 133, 0, 0, 0, 0.095, NA, 0, 0, 0, 0, 0.00, 0.095
or-tools, 003, -048, NA, NA, 0, 0, 0.083, 0, NA, NA, 0, 0, 0.016, 0.099
chuffed, 003, -049, NA, NA, 0, 0, 0.198, 0, NA, 0, 0, 0, 0.006, 0.20400000000000001
kissat, 003, -049, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -049, NA, NA, 0, 0, 0.079, 0, NA, NA, 0, 0, 0.017, 0.096
chuffed, 003, -050, NA, NA, 0, 0, 0.213, 0, NA, 0, 0, 0, 0.008, 0.221
kissat, 003, -050, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -050, NA, NA, 0, 0, 0.077, 0, NA, NA, 0, 0, 0.014, 0.091
chuffed, 003, -051, NA, NA, 0, 0, 0.23, 0, NA, 0, 0, 0, 0.017, 0.247
kissat, 003, -051, 133, 0, 0, 0, 0.09, NA, 0, 0, 0, 0, 0.00, 0.09
or-tools, 003, -051, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.016, 0.098
chuffed, 003, -052, NA, NA, 0, 0, 0.193, 0, NA, 0, 0, 0, 0.007, 0.2
kissat, 003, -052, 133, 0, 0, 0, 0.091, NA, 0, 0, 0, 0, 0.00, 0.091
or-tools, 003, -052, NA, NA, 0, 0, 0.081, 0, NA, NA, 0, 0, 0.012, 0.093
chuffed, 003, -053, NA, NA, 0, 0, 0.227, 0, NA, 0, 0, 0, 0.009, 0.23600000000000002
kissat, 003, -053, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -053, NA, NA, 0, 0, 0.085, 0, NA, NA, 0, 0, 0.014, 0.099
chuffed, 003, -054, NA, NA, 0, 0, 0.23, 0, NA, 0, 0, 0, 0.013, 0.24300000000000002
kissat, 003, -054, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -054, NA, NA, 0, 0, 0.081, 0, NA, NA, 0, 0, 0.013, 0.094
chuffed, 003, -055, NA, NA, 0, 0, 0.225, 0, NA, 0, 0, 0, 0.011, 0.23600000000000002
kissat, 003, -055, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -055, NA, NA, 0, 0, 0.084, 0, NA, NA, 0, 0, 0.014, 0.098
chuffed, 003, -056, NA, NA, 0, 0, 0.209, 0, NA, 0, 0, 0, 0.008, 0.217
kissat, 003, -056, 133, 0, 0, 0, 0.095, NA, 0, 0, 0, 0, 0.00, 0.095
or-tools, 003, -056, NA, NA, 0, 0, 0.088, 0, NA, NA, 0, 0, 0.013, 0.10099999999999999
chuffed, 003, -057, NA, NA, 0, 0, 0.212, 0, NA, 0, 0, 0, 0.008, 0.22
kissat, 003, -057, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -057, NA, NA, 0, 0, 0.089, 0, NA, NA, 0, 0, 0.014, 0.103
chuffed, 003, -058, NA, NA, 0, 0, 0.22, 0, NA, 0, 0, 0, 0.008, 0.228
kissat, 003, -058, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -058, NA, NA, 0, 0, 0.089, 0, NA, NA, 0, 0, 0.011, 0.09999999999999999
chuffed, 003, -059, NA, NA, 0, 0, 0.196, 0, NA, 0, 0, 0, 0.006, 0.202
kissat, 003, -059, 133, 0, 0, 0, 0.081, NA, 0, 0, 0, 0, 0.00, 0.081
or-tools, 003, -059, NA, NA, 0, 0, 0.088, 0, NA, NA, 0, 0, 0.011, 0.09899999999999999
chuffed, 003, -060, NA, NA, 0, 0, 0.26, 0, NA, 0, 0, 0, 0.009, 0.269
kissat, 003, -060, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -060, NA, NA, 0, 0, 0.087, 0, NA, NA, 0, 0, 0.016, 0.103
chuffed, 003, -061, NA, NA, 0, 0, 0.229, 0, NA, 0, 0, 0, 0.008, 0.23700000000000002
kissat, 003, -061, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -061, NA, NA, 0, 0, 0.08, 0, NA, NA, 0, 0, 0.014, 0.094
chuffed, 003, -062, NA, NA, 0, 0, 0.22, 0, NA, 0, 0, 0, 0.009, 0.229
kissat, 003, -062, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -062, NA, NA, 0, 0, 0.091, 0, NA, NA, 0, 0, 0.015, 0.106
chuffed, 003, -063, NA, NA, 0, 0, 0.229, 0, NA, 0, 0, 0, 0.011, 0.24000000000000002
kissat, 003, -063, 133, 0, 0, 0, 0.098, NA, 0, 0, 0, 0, 0.00, 0.098
or-tools, 003, -063, NA, NA, 0, 0, 0.077, 0, NA, NA, 0, 0, 0.015, 0.092
