solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
kissat, 003, -029, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -029, NA, NA, 0, 0, 0.092, 0, NA, NA, 0, 0, 0.021, 0.113
chuffed, 003, -030, NA, NA, 0, 0, 0.078, 0, NA, 0, 0, 0, 0.004, 0.082
kissat, 003, -030, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -030, NA, NA, 0, 0, 0.103, 0, NA, NA, 0, 0, 0.015, 0.118
chuffed, 003, -031, NA, NA, 0, 0, 0.071, 0, NA, 0, 0, 0, 0.003, 0.074
kissat, 003, -031, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -031, NA, NA, 0, 0, 0.099, 0, NA, NA, 0, 0, 0.013, 0.112
chuffed, 003, -032, NA, NA, 0, 0, 0.075, 0, NA, 0, 0, 0, 0.002, 0.077
kissat, 003, -032, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -032, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.017, 0.112
chuffed, 003, -033, NA, NA, 0, 0, 0.071, 0, NA, 0, 0, 0, 0.003, 0.074
kissat, 003, -033, 133, 0, 0, 0, 0.081, NA, 0, 0, 0, 0, 0.00, 0.081
or-tools, 003, -033, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.011, 0.111
chuffed, 003, -034, NA, NA, 0, 0, 0.075, 0, NA, 0, 0, 0, 0.003, 0.078
kissat, 003, -034, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -034, NA, NA, 0, 0, 0.094, 0, NA, NA, 0, 0, 0.018, 0.112
chuffed, 003, -035, NA, NA, 0, 0, 0.073, 0, NA, 0, 0, 0, 0.003, 0.076
kissat, 003, -035, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -035, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.013, 0.106
chuffed, 003, -036, NA, NA, 0, 0, 0.078, 0, NA, 0, 0, 0, 0.003, 0.081
kissat, 003, -036, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -036, NA, NA, 0, 0, 0.083, 0, NA, NA, 0, 0, 0.014, 0.097
chuffed, 003, -037, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.004, 0.08
kissat, 003, -037, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
